Type_of_Coarse_Aggregate,Type_of_Fine_Aggregate,Max_Size_of_Coarse_Aggregate(mm),Passing_0.6_mm_sieve(%),Target_Mean_Strength(MPa),Cement_O.P.C.(kg/m3),W/C_Ratio,Water_Content(kg/m3),Total_Aggregate(kg/m3),Fine_Aggregate(kg/m3),Coarse_Aggregate(kg/m3),Workability_Slump(mm),Hardened_Concrete_Density_(avg.),7_day_str(MPa),28_day_str(MPa),Admix_1,Admix_2,Dos_1(lit),Dos_2(lit),,
Natural,Natural,40,37.4,38,325,0.49,160,1915,780,1135,200,2402,25.6,42.5,NA,NA,0,0,,
Natural,Natural,40,37.4,38,325,0.49,160,1915,780,1135,200,2402,25.6,0,NA,NA,0,0,,
Natural,Natural,20,29.8,38,350,0.47,165,1915,780,1135,180,2406,31.2,40.1,SP,NA,1,0,,
Natural,Natural,20,29.8,38,350,0.47,165,1915,780,1135,180,2406,31.2,0,SP,NA,1,0,,
Natural,Natural,40,37.9,38,360,0.51,185,1835,700,1135,140,2486,24.9,35,NA,NA,0,0,,
Natural,Natural,40,37.9,38,360,0.51,185,1835,700,1135,140,2387,24.9,0,NA,NA,0,0,,
Natural,Natural,20,48.7,38,335,0.5,165,1900,760,1140,185,2403,24.7,0,EU,NA,0.75,0,,
Natural,Natural,20,48.7,38,335,0.5,165,1900,760,1140,185,2404,24.7,31.2,EU,NA,0.75,0,,
Crushed,Natural,20,0,38,350,0.51,180,1910,765,1140,150,2400,21.8,31.7,NA,NA,0,0,,
Crushed,Natural,20,26.9,38,350,0.51,180,1910,765,1140,150,2369,21.8,0,NA,NA,0,0,,
Crushed,Natural,20,29.1,38,350,0.53,185,1905,765,1140,150,2444,33.5,0,SP,NA,1,0,,
Crushed,Natural,20,29.1,38,350,0.53,185,1905,765,1140,150,2446,34.6,0,SP,NA,1,0,,
Crushed,Natural,20,0,38,350,0.54,190,1885,755,1140,80,2430,25.8,36.1,NA,NA,0,0,,
Crushed,Natural,20,42.1,38,345,0.55,190,1905,760,1145,145,2446,33.9,43.2,RH,NA,1.25,0,,
Crushed,Natural,20,30.1,38,350,0.5,175,1910,765,1145,100,2456,32.7,41.9,NA,NA,0,0,,
Crushed,Natural,20,30.1,38,350,0.5,175,1910,765,1145,100,2455,32.7,0,NA,NA,0,0,,
Crushed,Natural,20,23.1,38,350,0.53,185,1915,770,1145,120,2454,21.9,29.9,NA,NA,0,0,,
Crushed,Natural,20,23.1,38,350,0.53,185,1915,770,1145,120,2456,21.9,0,NA,NA,0,0,,
Crushed,Natural,20,21.1,38,350,0.5,170,1910,765,1145,80,2453,18.2,0,NA,NA,0,0,,
Crushed,Natural,20,21.1,38,350,0.54,170,1910,765,1145,80,2453,18.2,0,NA,NA,0,0,,
Crushed,Natural,20,24.5,38,350,0.51,180,1910,765,1145,185,2445,31.8,39.1,SP,NA,1,0,,
Crushed,Natural,20,24.5,38,350,0.51,180,1910,765,1145,185,2445,31.8,0,SP,NA,1,0,,
Crushed,Natural,20,38,38,350,0.52,180,1905,760,1145,190,2446,36.9,40.4,SP,NA,0.75,0,,
Crushed,Natural,20,38,38,350,0.52,180,1905,760,1145,190,2445,36.9,0,SP,NA,0.75,0,,
Crushed,Natural,20,39,38,350,0.48,185,1905,760,1145,190,2445,33.2,45,RE,NA,0.75,0,,
Crushed,Natural,20,39,38,350,0.53,185,1905,760,1145,190,2443,33.2,0,RE,NA,0.75,0,,
Crushed,Natural,20,15.4,38,350,0.54,190,1910,765,1145,80,2455,27.1,39.7,NA,NA,0,0,,
Crushed,Natural,20,15.4,38,350,0.54,190,1910,765,1145,80,2455,27.1,0,NA,NA,0,0,,
Crushed,Natural,20,38.3,38,350,0.49,185,1915,770,1145,110,2451,23.4,32.9,NA,NA,0,0,,
Crushed,Natural,20,38.3,38,350,0.53,185,1915,770,1145,110,2455,32.4,0,NA,NA,0,0,,
Natural,Natural,20,32.4,38,350,0.51,180,1850,705,1145,160,2389,26.4,0,NA,NA,0,0,,
Natural,Natural,20,32.4,38,350,0.51,180,1850,705,1145,160,2394,28.6,0,NA,NA,0,0,,
Natural,Natural,20,55.1,38,350,0.51,180,1850,705,1145,100,2382,27.1,0,NA,NA,0,0,,
Natural,Natural,20,55.1,38,350,0.51,180,1850,705,1145,100,2384,27.1,32.1,NA,NA,0,0,,
Crushed,Natural,40,41.4,38,350,0.54,190,1910,765,1145,120,2404,21.9,28.5,NA,NA,0,0,,
Crushed,Natural,40,41.4,38,350,0.54,190,1910,765,1145,120,2404,21.9,0,NA,NA,0,0,,
Natural,Natural,40,32.4,38,350,0.51,180,1850,705,1145,160,2396,26.4,0,NA,NA,0,0,,
Natural,Natural,40,32.4,38,350,0.51,180,1850,705,1145,160,2390,28.6,39.6,NA,NA,0,0,,
Natural,Natural,40,32.4,38,350,0.51,180,1850,705,1145,160,2398,26.4,32.7,NA,NA,0,0,,
Natural,Natural,40,32.4,28,350,0.51,180,1850,705,1145,160,2392,28.6,0,NA,NA,0,0,,
Natural,Natural,40,37.4,38,300,0.53,160,1940,790,1150,150,2407,28.3,33.5,SP,NA,1,0,,
Natural,Natural,40,37.4,38,300,0.53,160,1940,790,1150,150,2405,28.3,0,SP,NA,1,0,,
Natural,Natural,20,34.5,38,325,0.49,160,1915,765,1150,100,2402,27.6,0,RE,NA,0.75,0,,
Crushed,Natural,20,31.3,38,350,0.51,180,1920,770,1150,175,2455,35.5,47.3,SP,NA,0.75,0,,
Crushed,Natural,20,31.3,38,350,0.51,180,1920,770,1150,175,2456,35.5,0,SP,NA,0.75,0,,
Crushed,Natural,20,36,38,350,0.54,190,1920,770,1150,120,2463,24.8,31.1,NA,NA,0,0,,
Crushed,Natural,20,0,38,350,0.54,290,1920,770,1150,65,2465,28.4,0,NA,NA,0,0,,
Crushed,Natural,20,0,38,350,0.54,190,1920,770,1150,65,2460,28.4,33.3,NA,NA,0,0,,
Crushed,Natural,20,53.5,38,350,0.51,180,1920,725,1150,130,2453,28.6,35.9,JY,NA,1.25,0,,
Crushed,Natural,20,53.5,38,350,0.51,180,1920,725,1150,130,2454,28.6,0,JY,NA,1.25,0,,
Crushed,Natural,20,36,38,350,0.54,190,1920,770,1150,120,2465,24.8,0,NA,NA,0,0,,
Natural,Natural,40,47.6,38,350,0.51,180,1850,700,1150,110,2384,23.7,0,NA,NA,0,0,,
Natural,Natural,40,33.1,38,350,0.5,175,1855,705,1150,140,2383,37.7,0,NA,NA,0,0,,
Natural,Natural,40,33.1,38,350,0.5,175,1855,705,1150,140,2383,27.7,36.3,NA,NA,0,0,,
Natural,Natural,40,31.2,38,350,0.5,175,1855,705,1150,100,2396,27.9,0,NA,NA,0,0,,
Natural,Natural,40,31.2,38,350,0.5,175,1855,705,1150,100,2402,27.9,32.8,NA,NA,0,0,,
Crushed,Natural,20,47.3,39,375,0.55,205,1850,700,1150,75,2433,29.1,39.4,NA,NA,0,0,,
Crushed,Natural,20,47.3,38,375,0.55,205,1850,700,1150,75,2435,29.1,0,NA,NA,0,0,,
Natural,Natural,40,45,38,375,0.45,170,1855,705,1150,200,2405,40.2,0,CO,NA,1,0,,
Natural,Natural,40,45,38,375,0.45,170,1855,705,1150,200,2452,45.8,49.6,CO,NA,1,0,,
Natural,Natural,40,0,38,360,0.45,162,1858,706,1152,80,2403,28.7,0,NA,NA,0,0,,
Natural,Natural,40,0,38,360,0.45,162,1858,706,1152,80,2408,28.7,38.1,NA,NA,0,0,,
Natural,Natural,20,52.1,38,250,0.5,175,1865,710,1155,200,2395,30,0,CO,NA,0.8,0,,
Natural,Natural,40,28,38,340,0.49,165,1895,740,1155,170,2409,34.2,43.8,SI,NA,1,0,,
Natural,Natural,40,28,38,340,0.49,165,1895,740,1155,170,2402,28.4,0,SI,NA,0.8,0,,
